Question,date_created,model,major,grade,prompt,temperature,top_p,count
What are the engineering program requirements for UT Dallas?,2023-04-10 16:07:42.860143,gpt-3.5-turbo,,,,,,2
How do I apply for financial aid at UT Dallas?,2023-04-10 16:07:42.860143,gpt-3.5-turbo,,,,,,2
What is the office hours for the UT Dallas admissions office?,2023-04-10 16:07:42.860143,gpt-3.5-turbo,,,,,,2
What are the prerequisites for the Computer Science program at UT Dallas?,2023-04-10 16:07:42.860143,gpt-3.5-turbo,,,,,,3
How many student organizations are there at UT Dallas?,2023-04-10 16:07:42.860143,gpt-3.5-turbo,,,,,,2
What are the admission requirements for transfer students at UT Dallas?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
How many credit hours do I need to transfer from Collin College to UT Dallas?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
Are there any prerequisite courses I need to have completed before I can transfer?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,2
How do I apply for admission to UT Dallas as a transfer student?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
Is there a deadline to apply for transfer admission to UT Dallas?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
Will my GPA at Collin College be a factor in my admission decision at UT Dallas?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
"Can I transfer into any major at UT Dallas, or are some majors more competitive than others?",2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
Does UT Dallas offer financial aid and scholarships for transfer students?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
Are there any transfer-specific orientation or advising programs at UT Dallas?,2023-04-10 16:08:01.977839,gpt-3.5-turbo,,,,,,3
"What are some of the key differences between traditional art forms and technology-based art forms, and how are they evolving over time?",2023-04-11 11:36:06.053884,gpt-3.5-turbo,Arts and Technology,,,,,1
"How can technology be used to enhance creativity in the arts, and what new opportunities for expression and innovation does it create?",2023-04-11 11:36:06.053884,gpt-3.5-turbo,Arts and Technology,,,,,1
"How do cultural and social factors influence the development and adoption of new art and technology forms, and what are some of the ethical considerations that arise when exploring these topics?",2023-04-11 11:36:06.053884,gpt-3.5-turbo,Arts and Technology,,,,,1
"What are some of the most innovative and groundbreaking projects that have emerged in the intersection of art and technology, and what can we learn from them?",2023-04-11 11:36:06.053884,gpt-3.5-turbo,Arts and Technology,,,,,1
How do we balance the technical skills necessary for success in an increasingly digital world with the creative skills and perspectives that are essential for success in the arts and humanities?,2023-04-11 11:36:06.053884,gpt-3.5-turbo,Arts and Technology,,,,,1
How has social media impacted political communication and activism?,2023-04-11 11:36:10.012463,gpt-3.5-turbo,Emerging Media and Communication,,,,,1
What are the ethical considerations of using virtual reality in healthcare?,2023-04-11 11:36:10.012463,gpt-3.5-turbo,Emerging Media and Communication,,,,,1
How has podcasting changed the landscape of journalism and media consumption?,2023-04-11 11:36:10.012463,gpt-3.5-turbo,Emerging Media and Communication,,,,,1
What is the role of AI in the future of advertising and marketing?,2023-04-11 11:36:10.012463,gpt-3.5-turbo,Emerging Media and Communication,,,,,1
How can augmented reality be used to enhance the museum visitor experience?,2023-04-11 11:36:10.012463,gpt-3.5-turbo,Emerging Media and Communication,,,,,1
What is the difference between financial accounting and managerial accounting?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
"How do I create a balance sheet, income statement, and statement of cash flows?",2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
What is the role of Generally Accepted Accounting Principles (GAAP) in the accounting profession?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,2
How are taxes calculated and reported for corporations and individuals?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
How do I create and interpret budget reports?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
How do I reconcile bank statements with accounting records?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
What is the role of an auditor in financial statement reporting?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
How do I handle foreign currency transactions in accounting?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
How do I calculate inventory costs and values using different methods like LIFO and FIFO?,2023-04-11 11:36:16.489174,gpt-3.5-turbo,Accounting,,,,,1
What are the core principles of business administration?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
How do global economic trends impact businesses and industries?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
What are the key strategies and tactics for effective business management?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
What are the ethical considerations in modern business practices?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
How can businesses adapt to changing technological landscapes?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
What are the steps involved in creating a successful business plan?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
How can businesses effectively manage finances and resources?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
What are the key marketing and branding strategies for business success?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
How do businesses navigate legal and regulatory frameworks?,2023-04-11 11:36:20.713045,gpt-3.5-turbo,Business Administration,,,,,1
What are the most common data analysis techniques used in the retail industry?,2023-04-11 11:36:24.997820,gpt-3.5-turbo,Business Analytics,,,,,1
How can machine learning algorithms be utilized to improve supply chain management?,2023-04-11 11:36:24.997820,gpt-3.5-turbo,Business Analytics,,,,,1
What are the key factors that influence consumer purchasing decisions in the healthcare industry?,2023-04-11 11:36:24.997820,gpt-3.5-turbo,Business Analytics,,,,,1
How can social media data be analyzed to identify target demographics for online advertisements?,2023-04-11 11:36:24.997820,gpt-3.5-turbo,Business Analytics,,,,,1
What statistical models are most effective for predicting financial performance of publicly traded companies?,2023-04-11 11:36:24.997820,gpt-3.5-turbo,Business Analytics,,,,,1
What are the current trends in renewable energy generation and what factors are contributing to their growth?,2023-04-11 11:36:34.397732,gpt-3.5-turbo,Energy Management,,,,,1
"How can buildings be retrofitted to improve energy efficiency, reduce carbon emissions, and save costs for building owners?",2023-04-11 11:36:34.397732,gpt-3.5-turbo,Energy Management,,,,,1
In what ways can energy storage technologies improve the efficiency and reliability of renewable energy systems?,2023-04-11 11:36:34.397732,gpt-3.5-turbo,Energy Management,,,,,1
What are the barriers to wider adoption of renewable energy technologies and how can they be overcome?,2023-04-11 11:36:34.397732,gpt-3.5-turbo,Energy Management,,,,,1
How can cities and local governments use energy data to inform energy planning and target areas for energy efficiency improvements?,2023-04-11 11:36:34.397732,gpt-3.5-turbo,Energy Management,,,,,1
